Question,Answer 1,Answer 2
"Вам звичайно легко виконувати справу, яка вимагає миттєвої реакції?",Так,Ні
"Ви звичайно говорите повільно, без запинки?",Так,Ні
"Чи хвилюють Вас побоювання, що Ви не можете виконати якусь роботу?",Так,Ні
"Чи легко Ви ображаєтеся, коли близькі люди вказують на Ваші особисті недоліки?",Так,Ні
"Чи відчуваєте Ви потяг до напруженої, відповідальної діяльності?",Так,Ні
"Чи вважаєте Ви свої рухи повільними й неквапливими?",Так,Ні
"Чи бувають у Вас думки, які б Ви хотіли приховати від інших?",Так,Ні
"Чи можете Ви без тривалих роздумів задати делікатне запитання іншій людині?",Так,Ні
"Чи подобаються Вам швидкі рухи?",Так,Ні
"Чи легко Ви генеруєте нові ідеї?",Так,Ні
"Чи хвилюєтеся Ви перед відповідальною розмовою?",Так,Ні
"Чи можна сказати, що Ви швидко виконуєте доручену Вам справу?",Так,Ні
"Чи подобається Вам братися за велику справу самостійно?",Так,Ні
"Чи багата у Вас міміка під час розмови?",Так,Ні
"Якщо Ви пообіцяли що-небудь зробити, то чи завжди Ви виконуєте обіцяне, незалежно від того, зручно Вам це чи ні?",Так,Ні
"Чи ображаєтеся Ви через те, що люди, які Вас оточують, поводяться з Вами значно гірше, ніж це може бути?",Так,Ні
"Ви зазвичай віддаєте перевагу виконанню одночасно тільки однієї операції?",Так,Ні
"Чи подобаються Вам ігри, які відбуваються у швидкому темпі?",Так,Ні
"Чи багато у Вашій мові тривалих пауз?",Так,Ні
"Чи легко Вам внести пожвавлення в компанії?",Так,Ні
"Чи відчуваєте Ви зазвичай у собі надлишок сил, бажаючи зайнятися якою-небудь важкою справою?",Так,Ні
"Вам зазвичай важко переключити увагу з однієї справи на іншу?",Так,Ні
"Чи буває так, що у Вас на тривалий час псується настрій через те, що зірвано заплановану справу?",Так,Ні
"Чи часто Ви не можете заснути через те, що щось негаразд у справах, пов’язаних із роботою?",Так,Ні
"Чи подобається Вам бути у великій компанії?",Так,Ні
"Чи хвилюєтеся Ви, коли з’ясовуєте стосунки з друзями?",Так,Ні
"Чи відчуваєте Ви потребу в роботі, яка потребує повної віддачі?",Так,Ні
"Чи втрачаєте Ви іноді самовладання чи обурюєтеся?",Так,Ні
"Чи здатні Ви вирішувати багато справ одночасно?",Так,Ні
"Чи почуваєтеся Ви вільно у великій компанії?",Так,Ні
"Чи часто Ви висловлюєте своє перше враження, не обміркувавши все як слід?",Так,Ні
"Чи непокоїть Вас почуття невпевненості в процесі виконання роботи?",Так,Ні
"Чи повільні Ваші рухи, коли Ви майструєте що-небудь?",Так,Ні
"Чи легко Ви переключаєтеся з однієї роботи на іншу?",Так,Ні
"Чи швидко Ви читаєте вголос?",Так,Ні
"Чи Ви іноді розпускаєте плітки?",Так,Ні
"Ви мовчазні, коли перебуваєте в колі друзів?",Так,Ні
"Чи маєте Ви потребу в таких людях, які могли б Вас підбадьорити, розрадити?",Так,Ні
"Чи охоче Ви виконуєте багато всіляких доручень одночасно?",Так,Ні
"Чи охоче Ви виконуєте роботу у швидкому темпі?",Так,Ні
"Чи у вільний час Ви зазвичай відчуваєте потяг до спілкування з людьми?",Так,Ні
"Чи часто у Вас безсоння через невдачі на роботі?",Так,Ні
"Чи тремтять у Вас іноді руки під час сварки?",Так,Ні
"Чи довго Ви подумки готуєтеся перед тим, як висловитися?",Так,Ні
"Чи є серед Ваших знайомих люди, які Вам не подобаються?",Так,Ні
"Чи Ви зазвичай надаєте перевагу легкій роботі?",Так,Ні
"Чи легко Ви ображаєтеся через дрібниці під час розмови?",Так,Ні
"Чи Ви зазвичай першим у компанії вирішуєте почати розмову?",Так,Ні
"Чи відчуваєте Ви потяг до людей?",Так,Ні
"Чи схильні Ви спочатку все обміркувати і лише потім говорити?",Так,Ні
"Чи часто Ви хвилюєтеся з приводу своєї роботи?",Так,Ні
"Чи завжди Ви платили б за перевезення багажу в транспорті, якби не побоювалися перевірки?",Так,Ні
"Чи тримаєтеся Ви на вечірках або в компанії відокремлено?",Так,Ні
"Чи схильні Ви перебільшувати у власній уяві невдачі, пов’язані з роботою?",Так,Ні
"Чи подобається Вам швидко говорити?",Так,Ні
"Чи легко Вам утриматися від висловлення ідеї, яка негадано у Вас виникла?",Так,Ні
"Чи надаєте Ви перевагу повільній роботі?",Так,Ні
"Чи хвилюєтеся Ви через найдрібніші негаразди в роботі?",Так,Ні
"Ви надаєте перевагу повільній, спокійній розмові?",Так,Ні
"Чи часто хвилюєтеся через помилки в роботі, які Ви зробили?",Так,Ні
"Чи здатні Ви виконувати тривалу роботу?",Так,Ні
"Чи можете Ви, не довго думаючи, звернутися з проханням до іншої людини?",Так,Ні
"Чи часто Вас непокоїть почуття невпевненості в собі?",Так,Ні
"Чи легко Ви беретеся за виконання нових завдань?",Так,Ні
"Чи стомлюєтеся Ви, коли доводиться довго говорити?",Так,Ні
"Чи надаєте Ви перевагу роботі без напруження?",Так,Ні
"Чи подобається Вам різноманітна робота, яка потребує переключення уваги?",Так,Ні
"Чи подобається Вам тривалий час бути на самоті?",Так,Ні
